"","X","Map_.amp._Parcel","Location","Current_Owner","Mailing_Address","Legal_Description","Assessment_Classification.","Sale_Date","Sale_Price","Assessment_Year","Last_Reappraisal_Year","Improvement_Value","Land_Value","Total_Appraisal_Value","Assessed_Value","Property_Use","Zone","Neighborhood","Land_Area","Property_Type","Year_Built","Square_Footage","Exterior_Wall","Story_Height","Building_Condition","Foundation_Type","Number_of_Rooms","Number_of_Beds","Number_of_Baths","Number_of_Half_Bath","Number_of_Fixtures","lat","lng","Year","Month","Date","Num_Sale_Price","Num_Assessed_Value"
"1",3," 092 16 0 044.00"," 110 21ST AVE S, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AV STE 750 C/O SEAN SCALLY, NASHVILLE, TN 37203"," LOTS 22-23-24 WILLIAMS SUB."," EXE"," 02/01/1990"," $0",2022,2021," $16,457,000"," $5,136,600"," $21,593,600"," $0"," OFFICE BLDG (3 OR MORE STORIES)",2,911," 0.55 Acres"," OFFICE",1966," 135,600"," PRECAST CONC"," 7 STY"," Average"," TYPICAL",0,0,0,0,0,36.149902006681,-86.8003680123018,"1990","02","01",0,0
"2",5," 092 16 0 063.00"," 112 21ST AVE S, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AV STE 750 C/O SEAN SCALLY, NASHVILLE, TN 37203"," LOTS 41-49 JOHN H. WILLIAMS &amp; PT OF CL ALLEY"," EXE"," 03/08/1988"," $1,487,500",2022,2021," $79,300"," $9,409,100"," $9,488,400"," $0"," PARKING LOT",2,1011," 0.96 Acres","",NA," 0","","","","",NA,NA,NA,NA,NA,36.1492920136774,-86.7999169820919,"1988","03","08",1487500,0
"3",6," 092 16 0 070.00"," 2020 BROADWAY, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AV STE 750 C/O SEAN SCALLY, NASHVILLE, TN 37203"," LOTS 48 &amp; 49 JOHN H. WILLIAMS SUB. &amp; PT OF CL ALLEY"," EXE"," 06/26/1991"," $610,000",2022,2021," $27,800"," $4,116,400"," $4,144,200"," $0"," PARKING LOT",2,1011," 0.42 Acres","",NA," 0","","","","",NA,NA,NA,NA,NA,36.1486290051363,-86.7994480146093,"1991","06","26",610000,0
"4",7," 092 16 0 072.00"," 2014 BROADWAY, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AV STE 750 C/O SEAN SCALLY, NASHVILLE, TN 37203"," LOT 40 JOHN H WILLIAMS &amp; PT OF CL ALLEY"," EXE"," 01/05/1989"," $0",2022,2021," $893,500"," $4,410,500"," $5,304,000"," $0"," PARKING GARAGE",2,1011," 0.45 Acres"," PARK'G GAR",1982," 27,984"," PRECAST CONC"," 2 STY"," Average"," TYPICAL",0,0,0,0,0,36.1490729945475,-86.7992689771574,"1989","01","05",0,0
"5",8," 092 16 0 073.00"," 2012 BROADWAY, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AV STE 750 C/O SEAN SCALLY, NASHVILLE, TN 37203"," LOTS 38 &amp; 39 JOHN WILLIAMS &amp; PT OF CL ALLEY"," EXE"," 01/05/1989"," $0",2022,2021," $3,283,900"," $4,606,400"," $7,890,300"," $0"," OFFICE BLDG (3 OR MORE STORIES)",2,1011," 0.47 Acres"," OFFICE",1981," 35,709"," BRICK/FRAME"," 3 STY"," Fair"," TYPICAL",0,0,0,0,0,36.1492480086858,-86.7990559929977,"1989","01","05",0,0
"6",44," 104 04 0 046.00"," 1808 EDGEHILL AVE, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AV STE 750 C/O SEAN SCALLY, NASHVILLE, TN 37203"," PT LOT 4 J H B RESUB HAYES PLAN"," EXE"," 07/15/2002"," $425,000",2022,2021," $518,900"," $900,000"," $1,418,900"," $0"," APARTMENT: LOW RISE (BUILT SINCE 1960)",2,1011," 0.17 Acres"," APARTMENT",1984," 4,092"," BRICK"," 2 STY"," Average"," TYPICAL",0,0,0,0,0,36.1439860175103,-86.7963059743849,"2002","07","15",425000,0
"7",46," 104 06 0 162.00"," 3319 WEST END AVE, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AV STE 750 C/O SEAN SCALLY, NASHVILLE, TN 37203"," LOTS 5&amp;6 PT 4&amp;7 BRANSFORD REALTY CO WEST END HGTS"," EXE"," 06/03/2002"," $9,795,000",2022,2021," $21,341,900"," $9,262,600"," $30,604,500"," $0"," OFFICE BLDG (3 OR MORE STORIES)",2,2111," 1.05 Acres"," OFFICE",1985," 133,157"," PRECAST CONC"," 9 STY"," Average"," TYPICAL",0,0,0,0,0,36.1396850115339,-86.8179310331205,"2002","06","03",9795000,0
"8",51," 104 07 0 485.00"," 2141 BLAKEMORE AVE, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AV STE 750 C/O SEAN SCALLY, NASHVILLE, TN 37203"," LTS 24,25,26 SCRUGGS BURCH ORCHARD SUB &amp; ADDN. TRACT"," EXE"," 04/15/1992"," $2,598,000",2022,2021," $3,996,600"," $7,013,200"," $11,009,800"," $0"," SCHOOL OR COLLEGE",2,2211," 1.61 Acres"," MED OFC",1975," 10,466"," BRICK"," 1 STY"," Average"," TYPICAL",0,0,0,0,0,36.1376389889687,-86.8041469933484,"1992","04","15",2598000,0
"9",52," 104 07 0 503.00"," 2140 BELCOURT AVE, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AV STE 750 C/O SEAN SCALLY, NASHVILLE, TN 37203"," LTS 11,12 SCRUGGS BURCH ORCHARD &amp; LTS 1,2 SCRUGGS RE. SUB."," EXE"," 05/22/1991"," $650,000",2022,2021," $1,799,800"," $7,143,800"," $8,943,600"," $0"," DAY CARE CENTER",2,2211," 1.64 Acres"," DAYCARE",1974," 6,892"," STUCCO"," 1 STY"," Average"," TYPICAL",0,0,0,0,0,36.1371120187161,-86.8036660397442,"1991","05","22",650000,0
"10",62," 104 10 0 229.00"," 528 CHESTERFIELD AVE, Nashville, TN"," VANDERBILT UNIVERSITY","  2100 WEST END AV STE 750 C/O SEAN SCALLY, NASHVILLE, TN 37203"," LOT 1 WESTMORELAND PLACE RE-SUB LOT 1"," EXE"," 12/18/1986"," $250,000",2022,2021," $3,888,800"," $466,100"," $4,354,900"," $0"," SCHOOL OR COLLEGE",2,2426," 1.07 Acres"," OFFICE",1939," 32,633"," BRICK"," 2 STY"," Fair"," TYPICAL",0,0,0,0,0,36.1308739968254,-86.8159430133253,"1986","12","18",250000,0
